Average of regret,Column Labels,,,,,
Row Labels,Deterministic,DeterministicAlternating,EpsilonFirst,EpsilonGreedy,Exp3,Grand Total
294,0.258305085,0.160677966,0.025084746,0.029152542,0.122711864,0.119186441
295,0.256756757,0.160135135,0.025,0.029054054,0.125,0.119189189
296,0.258585859,0.158922559,0.024915825,0.028956229,0.127272727,0.11973064
297,0.25704698,0.158389262,0.024832215,0.02885906,0.126845638,0.119194631
298,0.255518395,0.160535117,0.024749164,0.028762542,0.126421405,0.119197324
299,0.257333333,0.16,0.024666667,0.028666667,0.126,0.119333333
300,0.259136213,0.162126246,0.024584718,0.028571429,0.124916944,0.11986711
301,0.260927152,0.161589404,0.024503311,0.028476821,0.124503311,0.12
302,0.259405941,0.16039604,0.024422442,0.028382838,0.124092409,0.119339934
303,0.261184211,0.159868421,0.024342105,0.028289474,0.123684211,0.119473684
304,0.26295082,0.161967213,0.024262295,0.028196721,0.123278689,0.120131148
305,0.261437908,0.161437908,0.024183007,0.028104575,0.122222222,0.119477124
306,0.263192182,0.163517915,0.024104235,0.027361564,0.121824104,0.12
307,0.261688312,0.162987013,0.024025974,0.027272727,0.121428571,0.119480519
308,0.263430421,0.165048544,0.02394822,0.027184466,0.121035599,0.12012945
309,0.261935484,0.164516129,0.023870968,0.027096774,0.123225806,0.120129032
310,0.263665595,0.163344051,0.023794212,0.027009646,0.122829582,0.120128617
311,0.262179487,0.162820513,0.023717949,0.026923077,0.122435897,0.119615385
312,0.263897764,0.16485623,0.023642173,0.026837061,0.122044728,0.120255591
313,0.265605096,0.16433121,0.023566879,0.026751592,0.121656051,0.120382166
314,0.267301587,0.166349206,0.023492063,0.026666667,0.121269841,0.121015873
315,0.268987342,0.165822785,0.023417722,0.026582278,0.120886076,0.121139241
316,0.270662461,0.167823344,0.023343849,0.026498423,0.120504732,0.121766562
317,0.26918239,0.167295597,0.02327044,0.026415094,0.120125786,0.121257862
318,0.267711599,0.166144201,0.023197492,0.026332288,0.119749216,0.120626959
