Average of regret,Column Labels,,,,,
Row Labels,Deterministic,DeterministicAlternating,EpsilonFirst,EpsilonGreedy,Exp3,Grand Total
328,1.213537225,4.148369585,0.661397484,0.527063319,1.30633367,1.571340257
329,1.216445853,4.15760356,0.658926167,0.525435237,1.300496885,1.57178154
330,1.217378146,4.161320911,0.656888702,0.524417429,1.296890043,1.571379046
331,1.214036809,4.167114296,0.654574968,0.523130451,1.292992507,1.570369806
332,1.216525656,4.170056347,0.652771593,0.521546793,1.289391565,1.570058391
333,1.214669679,4.172198857,0.651574583,0.519645113,1.283904734,1.568398593
334,1.21014304,4.154233283,0.64974244,0.518766585,1.27957768,1.562492605
335,1.212790327,4.164730529,0.648122278,0.517567811,1.275185552,1.563679299
336,1.214212441,4.166360355,0.646744568,0.516065471,1.270517894,1.562780146
337,1.218785106,4.169719975,0.644241691,0.534975067,1.264359572,1.566416282
338,1.218144744,4.170488554,0.642338548,0.533556776,1.260270109,1.564959746
339,1.219669822,4.161082715,0.640652396,0.532342342,1.255668571,1.561883169
340,1.221030965,4.165377267,0.639314184,0.530756767,1.254508296,1.562197496
341,1.218240686,4.161978438,0.637895997,0.529420059,1.252447515,1.559996539
342,1.217567774,4.169002731,0.635776775,0.528288871,1.249265227,1.559980276
343,1.221088853,4.168477598,0.633965075,0.527385175,1.246027218,1.559388784
344,1.215044812,4.149845175,0.632632039,0.526879811,1.241966684,1.553273704
345,1.216979672,4.157381084,0.630817239,0.525246295,1.239117717,1.553908401
346,1.218686586,4.163297229,0.628892221,0.523408777,1.23677546,1.554212055
347,1.216890213,4.169663157,0.627319295,0.521571778,1.232826213,1.553654131
348,1.212708075,4.178222589,0.624362549,0.535130861,1.230235773,1.556131969
349,1.210911487,4.15888456,0.622340342,0.533796309,1.225347222,1.550255984
350,1.212146701,4.163334078,0.620590751,0.531973069,1.221752652,1.54995945
351,1.216605647,4.164401967,0.619370283,0.530678214,1.218955861,1.550002394
352,1.217531364,4.171754405,0.618047615,0.528904089,1.227453128,1.55273812
353,1.218885076,4.175081621,0.616016494,0.527737471,1.224175711,1.552379275
354,1.21739711,4.165903232,0.614756286,0.526511651,1.222153595,1.549344375
355,1.222020219,4.17108941,0.613029155,0.524682017,1.219469261,1.550058012
356,1.220846584,4.176386214,0.61215597,0.52262542,1.215774523,1.549557742
357,1.22410169,4.175900077,0.609751205,0.52135138,1.212404975,1.548701865
